Country,Year,GDP per capita USD,CO2 Use
Germany,2011.0,47646.582043143,810802325.3
Germany,2012.0,44735.5882319701,815197408.6
Germany,2013.0,47220.0102098851,832642995.5
Germany,2014.0,48971.0824722599,793635843.4
Germany,2015.0,41911.0109851054,797078165.2
Italy,2000.0,20190.0035636084,470767746.9
Italy,2001.0,20570.4385917862,476201869.1
Italy,2002.0,22451.3964379368,477709338.5
Italy,2003.0,27577.5700319855,491480723.9
Italy,2004.0,31348.1901841445,495527786.0
Italy,2005.0,32062.723833669,495234014.9
Italy,2006.0,33537.1286994269,489749969.4
Italy,2007.0,37826.1754554823,480491585.7
Italy,2008.0,40828.5795580937,468062059.9
Italy,2009.0,37099.6133958219,415932393.3
Italy,2010.0,35856.8625485539,424873161.2
Italy,2011.0,38432.3742820019,413431505.5
Italy,2012.0,34854.3949441965,391990364.4
Italy,2013.0,35701.6746002376,363399902.1
Italy,2014.0,36028.3494022349,348476240.1
Italy,2015.0,30639.8829751432,355483213.9
India,2000.0,442.750218937263,1029637759.0
India,2001.0,450.357900514128,1035640714.0
India,2002.0,469.149928973927,1047595651.0
India,2003.0,544.143133545002,1091873009.0
India,2004.0,624.258826510066,1145545234.0
India,2005.0,710.488080408949,1210145667.0
India,2006.0,801.668353659022,1287149211.0
India,2007.0,1021.88707706826,1390253491.0
India,2008.0,992.519584923828,1547991039.0
India,2009.0,1094.94974598436,1720120560.0
India,2010.0,1347.51939071367,1700027394.0
India,2011.0,1445.46127486037,1817171600.0
India,2012.0,1429.32199520032,1983758813.0
India,2013.0,1432.84397512195,1997878578.0
India,2014.0,1553.88396075118,2207533892.0
India,2015.0,1583.99815907985,2276407195.0
Indonesia,2000.0,763.711124950924,265983184.0
Indonesia,2001.0,732.307093405708,297770560.0
Indonesia,2002.0,881.002913569131,307578168.0
Indonesia,2003.0,1043.2105838671,316854168.0
Indonesia,2004.0,1126.84004447173,340076520.0
Indonesia,2005.0,1238.21447629488,343579936.0
Indonesia,2006.0,1558.31562847163,346699720.0
Indonesia,2007.0,1823.21976255073,377122624.0
Indonesia,2008.0,2124.55483920618,417792048.0
Indonesia,2009.0,2218.48541852977,447301088.0
Indonesia,2010.0,3065.68348377765,427789520.0
Indonesia,2011.0,3579.46442466152,601325416.0
Indonesia,2012.0,3632.27254030331,633145032.0
Indonesia,2013.0,3566.60284506078,486130031.7
Indonesia,2014.0,3441.06808464008,460015658.7
Indonesia,2015.0,3288.22269725538,459628755.9
Saudi Arabia,2000.0,11714.5623675159,296353320.6
Saudi Arabia,2001.0,10805.311325122,296574890.6
Saudi Arabia,2002.0,10586.0543471363,325681176.8
Saudi Arabia,2003.0,11487.220410693,326517114.2
Saudi Arabia,2004.0,13154.4978989446,394584793.8
Saudi Arabia,2005.0,15975.7473782258,395854759.6
Saudi Arabia,2006.0,17563.6145370639,431291967.7
Saudi Arabia,2007.0,18596.1502627898,386507147.4
Saudi Arabia,2008.0,22320.4888964331,432336409.8
Saudi Arabia,2009.0,17718.3911648365,465844308.7
Saudi Arabia,2010.0,22028.3901426586,517715947.4
Saudi Arabia,2011.0,27126.7498747702,497659010.0
Saudi Arabia,2012.0,28733.4375513452,563179493.4
Saudi Arabia,2013.0,27865.465604962,540805232.0
Saudi Arabia,2014.0,27805.4850319422,601896064.8
Saudi Arabia,2015.0,23256.1549553531,620882957.2
South Africa,2000.0,3217.84693448467,377730906.0
South Africa,2001.0,2847.15191945908,371140576.0
South Africa,2002.0,2688.23676032806,355454058.0
South Africa,2003.0,4062.21755993786,403235268.0
South Africa,2004.0,5221.46333731721,448539068.0
South Africa,2005.0,5836.87663325127,415050850.0
South Africa,2006.0,6077.38293388876,445708664.0
South Africa,2007.0,6591.85535960564,463975000.0
South Africa,2008.0,6184.75474328399,494127156.0
South Africa,2009.0,6374.70560042992,501376938.0
South Africa,2010.0,7973.47195771517,472482580.0
South Africa,2011.0,8646.05571071635,468927239.3
South Africa,2012.0,8076.97678479741,467080646.4
South Africa,2013.0,7331.65467384919,464619057.0
South Africa,2014.0,6856.73137092522,488006183.8
South Africa,2015.0,6112.27382485974,461116585.6
United States,2000.0,36329.9702595751,6000606067.0
United States,2001.0,37133.6203973517,5902454993.0
United States,2002.0,37997.7424300242,5943651279.0
United States,2003.0,39490.3023903176,5991319569.0
