Country,Year,GDP per capita USD,CO2 Use
Canada,2010,47560.6666009406,555459693.7
Canada,2011,52223.8588398531,560775900.5
Canada,2012,52670.3447335415,563675200.3
Canada,2013,52638.1187235237,568892395.7
Canada,2014,50960.8431174661,568008388.0
Canada,2015,43594.1941045394,565576677.0
France,2000,22340.5939516217,420652709.4
France,2001,22331.7948343036,425882460.6
France,2002,24144.5727019529,420919498.2
France,2003,29479.5222101175,428002759.9
France,2004,33644.9282220364,428927747.1
France,2005,34696.3718316971,432639271.3
France,2006,36431.5658906555,422101255.2
France,2007,41486.1907828787,412898356.6
France,2008,45464.8181385158,406790823.0
France,2009,41728.0884164132,386942089.4
France,2010,40694.8211697025,397900468.6
France,2011,43929.7840873812,372792615.7
France,2012,40863.5814412333,374112621.7
France,2013,42669.1795111893,374258601.9
France,2014,43148.0459288416,343572632.5
France,2015,36702.4323733379,348163670.7
